commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_Bergamo_2_origin_1,H_Cremona_2_dest_1,0.5,8.0,2,40,fluids,6,2
2,H_Pavia_8_origin_2,H_Pavia_1_dest_2,0.25,4.0,2,80,blood,8,1
3,H_Pavia_1_origin_3,H_Piacenza_1_dest_3,0.5,8.0,3,40,fluids,12,2
4,H_Pavia_1_origin_4,H_Pavia_5_dest_4,0.5,8.0,3,40,fluids,11,2
5,H_Parma_1_origin_5,H_Pavia_1_dest_5,0.3,10.0,2,60,lab_sample,18,2
6,H_Pavia_1_origin_6,H_Bergamo_4_dest_6,0.5,8.0,2,40,fluids,5,1
7,H_Cremona_1_origin_7,H_Bergamo_4_dest_7,0.4,10.0,2,50,medication,12,1
8,H_Cremona_2_origin_8,H_Milano_3_dest_8,0.4,10.0,3,50,medication,18,2
9,H_Bergamo_4_origin_9,H_Pavia_5_dest_9,0.4,10.0,2,50,medication,7,2
10,H_Pavia_9_origin_10,H_Cremona_1_dest_10,0.3,10.0,1,60,lab_sample,8,2
11,H_Pavia_10_origin_11,H_Piacenza_2_dest_11,0.3,10.0,1,60,lab_sample,6,2
12,H_Pavia_10_origin_12,H_Cremona_1_dest_12,0.25,4.0,3,80,blood,12,2
13,H_Pavia_5_origin_13,H_Pavia_1_dest_13,0.4,10.0,1,50,medication,5,1
14,H_Milano_3_origin_14,H_Bergamo_3_dest_14,0.4,10.0,3,50,medication,14,2
15,H_Pavia_5_origin_15,H_Pavia_1_dest_15,0.3,10.0,2,60,lab_sample,14,1
16,H_Bergamo_1_origin_16,H_Pavia_10_dest_16,0.3,10.0,3,60,lab_sample,29,2
17,H_Bergamo_1_origin_17,H_Parma_3_dest_17,0.5,8.0,3,40,fluids,12,1
18,H_Bergamo_1_origin_18,H_Piacenza_1_dest_18,0.5,8.0,1,40,fluids,4,2
19,H_Pavia_9_origin_19,H_Parma_1_dest_19,0.4,10.0,2,50,medication,9,1
20,H_Pavia_8_origin_20,H_Piacenza_2_dest_20,0.4,10.0,2,50,medication,8,2
